id;nome;sobrenome;email;idade;data de nascimento;cidade;estado;hobbies;linguagens de programação;jogos
a7d3a358;Matheus;Costa Ribeiro;matheus4@webmail.net;36.0;1988-09-22;Fortaleza;CE;['leitura', 'cozinhar', 'música', 'cinema', 'pintura'];['Go', 'PHP', 'Ruby', 'Java', 'Python'];[('Overwatch', 'PC')]
e439f93f;Camila;Ribeiro Dias;camilaee@freemail.com;20.0;2004-10-22;Porto Alegre;RS;['cinema', 'futebol', 'natação'];['PHP', 'Kotlin', 'C#', 'Go', 'Java'];[('Apex Legends', 'PC'), ('Minecraft', 'PC')]
3f27c71e;Larissa;Moraes Barbosa;larissakx@webmail.net;20.0;2004-09-04;Petropolis;RJ;['leitura', 'fotografia', 'ciclismo'];['C#', 'C++', 'Ruby', 'JavaScript'];[('GTA V', 'PlayStation 4'), ('Cyberpunk 2077', 'PC'), ('Valorant', 'PC')]
fdcd788f;Fernanda;Gomes;fernanda29h@inbox.org;19.0;Dec 10, 1999;Campinas;SP;['fotografia', 'cozinhar', 'futebol'];[];[('GTA V', 'PlayStation 4'), ('Valorant', 'PC'), ('Fortnite', 'PlayStation 4'), ('Minecraft', 'PC'), ('The Witcher 3', 'Xbox One')]
89d761b6;Camila;Carvalho Dias Ribeiro;camilac1@freemail.com;25.0;1999-07-08;Brasília;DF;['cinema', 'ciclismo'];['JavaScript', 'Go', 'Java'];[('Minecraft', 'PC'), ('Among Us', 'Mobile'), ('Valorant', 'PC'), ('The Witcher 3', 'Xbox One')]
a758d57e;Camila;Martins Fernandes Oliveira;;29.0;1994-12-21;Salvador;BA;['leitura', 'pintura', 'viagem'];['Ruby', 'PHP'];[('GTA V', 'PlayStation 4')]
9042cede;Luís;Costa Fernandes;luísy8x@mailservice.com;26.0;1998-08-18;Campinas;SP;['natação', 'viagem', 'cinema', 'ciclismo', 'cozinhar'];['PHP', 'Java', 'Python'];[('The Witcher 3', 'Xbox One'), ('GTA V', 'PlayStation 4'), ('League of Legends', 'PC'), ('Apex Legends', 'PC'), ('Minecraft', 'PC')]
ae994746;Bruno;Barbosa Souza;bruno0@freemail.com;18.0;2006-01-01;Belo Horizonte;MG;['viagem', 'cinema', 'futebol'];['Swift', 'C#', 'Go', 'Kotlin', 'PHP'];[('Overwatch', 'PC'), ('GTA V', 'PlayStation 4'), ('The Witcher 3', 'Xbox One'), ('Minecraft', 'PC')]
0592809f;Ana;Rodrigues;anav9i@inbox.org;41.0;1983-06-16;São Paulo;ZZ;['pintura', 'fotografia'];['Python', 'Java', 'PHP', 'Kotlin', 'Swift'];[('Valorant', 'PC'), ('Overwatch', 'PC')]
88588439;Rafael;Oliveira;rafaelau0@freemail.com;30.0;1993-11-07;Porto Alegre;RS;[];['Java'];[('Fortnite', 'PlayStation 4'), ('Cyberpunk 2077', 'PC')]
ed4fdaad;Mariana;Rocha Oliveira Dias;mariana07@example.com;;1992-09-06;Brasília;DF;[];['C#', 'Java', 'Go'];[('GTA V', 'PlayStation 4')]
c34e2389;Sofia;Araújo Carvalho Rodrigues;sofia6@example.com;46.0;1978-04-09;Juiz de Fora;MG;['viagem', 'pintura'];[];[]
1c2874a4;Camila;Santos;camila6oo@inbox.org;45.0;05/03/81;Recife;PE;['ciclismo', 'pintura', 'natação', 'música', 'cinema'];['Java', 'Kotlin', 'C++', 'Ruby', 'Python'];[('Cyberpunk 2077', 'PC'), ('League of Legends', 'PC')]
24d56155;Larissa;Oliveira Souza Carvalho;larissali@inbox.org;19.0;2005-05-12;Salvador;BA;['futebol', 'cozinhar', 'pintura'];['JavaScript', 'Python', 'Swift'];[('Cyberpunk 2077', 'PC'), ('Overwatch', 'PC')]
3e7e4ad8;Julia;Pereira Santos Almeida;julia5b8@freemail.com;22.0;2002-10-13;Recife;PE;['ciclismo', 'pintura', 'cozinhar', 'música', 'fotografia'];[];[('GTA V', 'PlayStation 4')]
ecaf8829;Beatriz;Souza Carvalho Moraes;beatriz13@fastmail.com;47.0;1977-03-20;Volta Redonda;RJ;[];['JavaScript', 'Swift', 'Go', 'Java'];[('Apex Legends', 'PC')]
37925a69;Rafael;Martins Ribeiro Moraes;;42.0;1982-05-26;Salvador;BA;['leitura', 'fotografia', 'pintura', 'natação', 'música'];['JavaScript', 'Ruby'];[('Cyberpunk 2077', 'PC'), ('The Witcher 3', 'Xbox One'), ('Among Us', 'Mobile')]
0f18226f;Pedro;Silva;pedrog@webmail.net;;1984-04-26;Belo Horizonte;MG;['leitura'];['Python', 'C++', 'Ruby', 'C#', 'Swift'];[]
a9376f01;Beatriz;Dias Ribeiro Lima;;45.0;1979-04-04;Brasília;DF;['natação', 'cozinhar', 'fotografia', 'pintura'];[];[]
aaa1efc2;Larissa;Almeida Rodrigues;larissah1@randommail.com;36.0;1988-06-06;Juiz de Fora;MG;['fotografia'];['Python', 'C++', 'Java', 'Go'];[('The Witcher 3', 'Xbox One'), ('Among Us', 'Mobile')]
8752082c;Rafael;Oliveira Souza Santos;rafaelav@inbox.org;42.0;1982-09-26;Recife;PE;['futebol', 'música', 'pintura', 'cinema'];['Go', 'Kotlin', 'Ruby'];[('GTA V', 'PlayStation 4')]
a7e8504f;Luís;Oliveira;luís8@inbox.org;38.0;1986-07-21;Rio de Janeiro;RJ;['leitura'];['C++', 'Java', 'C#', 'Ruby'];[('The Witcher 3', 'Xbox One'), ('GTA V', 'PlayStation 4')]
7ba461b8;Pedro;Carvalho Araújo;pedrog@mailservice.com;31.0;1993-03-22;Juiz de Fora;MG;['futebol', 'fotografia', 'natação', 'leitura', 'cozinhar'];['Kotlin', 'Java', 'Swift', 'Ruby', 'Go'];[('Fortnite', 'PlayStation 4')]
4685d079;Larissa;Correia Martins;larissa8@mailservice.com;41.0;1983-03-07;Curitiba;PR;[];['Kotlin'];[('League of Legends', 'PC'), ('The Witcher 3', 'Xbox One'), ('Overwatch', 'PC')]
e8155af8;Ana;Barbosa Araújo;anazq@randommail.com;41.0;1982-11-06;Rio de Janeiro;RJ;[];['Python', 'Kotlin', 'Swift', 'C++', 'PHP'];[('Apex Legends', 'PC'), ('The Witcher 3', 'Xbox One'), ('Minecraft', 'PC')]
12017cea;Luís;Dias Souza Barbosa;luís3j@randommail.com;44.0;1980-08-22;Salvador;BA;[];['PHP'];[]
a7c04195;Bruno;Pereira;bruno8@randommail.com;43.0;1981-04-14;Campinas;SP;['música', 'cozinhar', 'cinema'];['Swift', 'Python', 'Ruby', 'Go', 'Java'];[('Cyberpunk 2077', 'PC'), ('Among Us', 'Mobile'), ('Valorant', 'PC'), ('Overwatch', 'PC'), ('League of Legends', 'PC')]
bef7ca70;Fernanda;Correia;fernandac@example.com;29.0;;Juiz de Fora;MG;[];['Python', 'C#', 'PHP', 'JavaScript'];[('Minecraft', 'PC'), ('Overwatch', 'PC'), ('Valorant', 'PC'), ('Cyberpunk 2077', 'PC'), ('GTA V', 'PlayStation 4')]
0050be84;Lucas;Souza Almeida;lucas5@randommail.com;45.0;1979-08-03;São Paulo;SP;['música', 'viagem', 'cinema', 'natação', 'fotografia'];['C#', 'C++'];[('Cyberpunk 2077', 'PC'), ('Valorant', 'PC'), ('League of Legends', 'PC'), ('GTA V', 'PlayStation 4'), ('Overwatch', 'PC')]
e34f880c;João;Araújo Silva;joãow@inbox.org;44.0;1980-04-11;Volta Redonda;RJ;['viagem', 'pintura', 'natação', 'futebol'];['Ruby', 'Swift', 'PHP', 'Python', 'Kotlin'];[('The Witcher 3', 'Xbox One'), ('Valorant', 'PC')]
c85033d0;Pedro;Ribeiro;pedroi@freemail.com;48.0;1976-04-19;Rio de Janeiro;RJ;['ciclismo'];['Go', 'JavaScript', 'PHP', 'Swift'];[]
f644292d;Pedro;Araújo Dias Gomes;pedroh@example.com;40.0;1984-07-10;Petropolis;RJ;[];['PHP', 'Ruby', 'Java', 'JavaScript'];[]
1000e909;Ana;Barbosa;ana7n@mailservice.com;45.0;1979-06-11;Juiz de Fora;;['ciclismo', 'fotografia'];['C++', 'PHP', 'Ruby', 'Go', 'C#'];[('Overwatch', 'PC'), ('Apex Legends', 'PC'), ('Minecraft', 'PC')]
00705400;Rafael;Carvalho;rafaelpc4@freemail.com;27.0;1997-01-06;São Paulo;SP;['pintura'];['PHP'];[('The Witcher 3', 'Xbox One'), ('Overwatch', 'PC')]
